FileBackUp;/GFOOT/10_日次/01_HULFT/集信_02_共通POS_数量データ/;pjob;先行終了待ち;****/**/** **:**;***;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626016;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\122c6\b70cd\0.122c8.err;なし;@2W9773;****/**/**;****/**/** **:**:**;"";****/**/** **:**;****/**/** **:**
File監視エラー;/GFOOT/10_日次/01_HULFT/集信_02_共通POS_数量データ/;rpjob;未実行終了;****/**/** **:**;0;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;0;20260626016;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\122c6\b70cd\0.122ca.err;なし;@2W9773;****/**/**;****/**/** **:**:**;"エラーメール送信";****/**/** **:**;****/**/** **:**
データロード_TT_単品数量;/GFOOT/10_日次/01_HULFT/集信_02_共通POS_数量データ/;pjob;実行中;****/**/** **:**;***;2026/06/26 12:00:01;****/**/** **:**:**;****/**/** **:**:**;TYCLDS31;225202;20260626016;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\122c6\b70cd\0.122cb.err;なし;@2W9773;****/**/**;2026/06/26 12:00:01;"TT_単品数量";****/**/** **:**;****/**/** **:**
データ更新_TT_単品数量_在庫検;/GFOOT/10_日次/01_HULFT/集信_02_共通POS_数量データ/;pjob;先行終了待ち;****/**/** **:**;***;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626016;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\122c6\b70cd\0.122cc.err;なし;@2W9773;****/**/**;****/**/** **:**:**;"在庫検索用単品数量";****/**/** **:**;****/**/** **:**
ファイル監視;/GFOOT/10_日次/01_HULFT/集信_02_共通POS_数量データ/;flwjb;正常終了;****/**/** **:**;0;2026/06/26 12:00:00;****/**/** **:**:**;2026/06/26 12:00:01;TYCLDS31;0;20260626016;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\122c6\b70cd\0.122ce.err;なし;@2W9773;****/**/**;2026/06/26 12:00:00;"EAS2E016.txt のファイル監視";****/**/** **:**;****/**/** **:**
集信_03_AEON_客数_v2;/GFOOT/10_日次/01_HULFT/;net;正常終了;2023/06/06 20:17;***;2026/06/26 11:30:00;****/**/** **:**:**;2026/06/26 11:40:57;***;***;20260626003;***;なし;@2W9721;2026/06/26;2026/06/26 11:30:00;"毎時_09:30~19:30 【35分受信】ANKYAKUTIME.dat EAS2E00A";****/**/** **:**;****/**/** **:**
DataLoad_ADW;/GFOOT/10_日次/01_HULFT/集信_03_AEON_客数_v2/;pjob;正常終了;****/**/** **:**;0;2026/06/26 11:39:00;****/**/** **:**:**;2026/06/26 11:39:02;TYCLDS31;225133;20260626003;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12ede\b7099\0.12ee0.err;なし;@2W9721;****/**/**;2026/06/26 11:39:00;"TW_時間帯売上客数_AEON";****/**/** **:**;****/**/** **:**
DataLoad_TW->TI_ADW;/GFOOT/10_日次/01_HULFT/集信_03_AEON_客数_v2/;pjob;正常終了;****/**/** **:**;0;2026/06/26 11:39:02;****/**/** **:**:**;2026/06/26 11:40:02;TYCLDS31;225135;20260626003;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12ede\b7099\0.12ee2.err;なし;@2W9721;****/**/**;2026/06/26 11:39:02;"TI_時間帯売上客数_AEON(TW->TI)";****/**/** **:**;****/**/** **:**
Dr.Sum_TS_時間帯客数更新;/GFOOT/10_日次/01_HULFT/集信_03_AEON_客数_v2/;pjob;正常終了;****/**/** **:**;0;2026/06/26 11:40:02;****/**/** **:**:**;2026/06/26 11:40:57;jobserver01;225140;20260626003;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12ede\b7099\0.14d91.err;なし;@2W9721;****/**/**;2026/06/26 11:40:02;"TS_時間帯客数 ScriptRunner_JIKAN.bat";****/**/** **:**;****/**/** **:**
ERR_Dr.Sum_TS_時間帯客数更新;/GFOOT/10_日次/01_HULFT/集信_03_AEON_客数_v2/;rpjob;未実行終了;****/**/** **:**;0;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;0;20260626003;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12ede\b7099\0.14d92.err;なし;@2W9721;****/**/**;****/**/** **:**:**;"エラーメール送信";****/**/** **:**;****/**/** **:**
FileBackUp;/GFOOT/10_日次/01_HULFT/集信_03_AEON_客数_v2/;pjob;正常終了;****/**/** **:**;0;2026/06/26 11:40:02;****/**/** **:**:**;2026/06/26 11:40:03;TYCLDS31;225141;20260626003;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12ede\b7099\0.12ee5.err;なし;@2W9721;****/**/**;2026/06/26 11:40:02;"";****/**/** **:**;****/**/** **:**
File監視エラー;/GFOOT/10_日次/01_HULFT/集信_03_AEON_客数_v2/;rpjob;未実行終了;****/**/** **:**;0;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;0;20260626003;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12ede\b7099\0.12ee9.err;なし;@2W9721;****/**/**;****/**/** **:**:**;"エラーメール送信";****/**/** **:**;****/**/** **:**
TS_時間帯別客数更新_送_707;/GFOOT/10_日次/01_HULFT/集信_03_AEON_客数_v2/;evsjb;正常終了;****/**/** **:**;0;2026/06/26 11:40:02;****/**/** **:**:**;2026/06/26 11:40:03;TYCLDS30;225142;20260626003;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12ede\b7099\0.12eea.err;なし;@2W9721;****/**/**;2026/06/26 11:40:02;"7FFFA707 時間帯別売上速報作成ジョブへの連携";****/**/** **:**;****/**/** **:**
ファイル監視;/GFOOT/10_日次/01_HULFT/集信_03_AEON_客数_v2/;flwjb;正常終了;****/**/** **:**;0;2026/06/26 11:30:00;****/**/** **:**:**;2026/06/26 11:39:00;TYCLDS31;0;20260626003;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12ede\b7099\0.12eec.err;なし;@2W9721;****/**/**;2026/06/26 11:30:00;"ANKYAKUTIME.datのファイル監視";****/**/** **:**;****/**/** **:**
集信_04_AEON_時間帯別売上;/GFOOT/10_日次/01_HULFT/;net;正常終了;2023/06/06 20:16;***;2026/06/26 11:40:00;****/**/** **:**:**;2026/06/26 11:40:19;***;***;20260626003;***;なし;@2W9729;2026/06/26;2026/06/26 11:40:00;"毎時_09:40~19:40 【35分受信】ANTIME　EAS2E007";****/**/** **:**;****/**/** **:**
DataLoad;/GFOOT/10_日次/01_HULFT/集信_04_AEON_時間帯別売上/;pjob;正常終了;****/**/** **:**;0;2026/06/26 11:40:01;****/**/** **:**:**;2026/06/26 11:40:08;TYCLDS31;225137;20260626003;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12eed\b70a1\0.12eee.err;なし;@2W9729;****/**/**;2026/06/26 11:40:02;"データロード GFIF.TW_時間帯別JAN別売上_AEON";****/**/** **:**;****/**/** **:**
Data登録;/GFOOT/10_日次/01_HULFT/集信_04_AEON_時間帯別売上/;pjob;正常終了;****/**/** **:**;0;2026/06/26 11:40:08;****/**/** **:**:**;2026/06/26 11:40:19;TYCLDS31;225145;20260626003;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12eed\b70a1\0.12ef0.err;なし;@2W9729;****/**/**;2026/06/26 11:40:08;"データロード GFIF.TI_時間帯別JAN別売上_AEON";****/**/** **:**;****/**/** **:**
